Transaction_ID,Date,Drug_Name,Batch_Number,Qty_Sold,MRP_Unit_Price,Total_Amount
TXN-12724,2023-01-10,azithral 500,AZI-2309-11,3,118.5,355.5
TXN-12729,2023-01-10,allegra 120,ALL-2309-79,6,198.0,1188.0
TXN-12726,2023-01-10,allegra 120,ALL-2308-50,6,198.0,1188.0
TXN-12721,2023-01-10,dolo 650,DOL-2309-40,3,30.0,90.0
TXN-12720,2023-01-10,dolo 650,DOL-2308-77,3,30.0,90.0
TXN-12733,2023-01-10,pan 40,PAN-2308-52,2,155.0,310.0
TXN-12723,2023-01-10,glycomet 500,GLY-2308-94,3,22.5,67.5
TXN-12722,2023-01-10,glycomet 500,GLY-2308-94,2,22.5,45.0
TXN-13051,2023-01-11,dolo 650,DOL-2310-68,3,30.0,90.0
TXN-13044,2023-01-11,allegra 120,ALL-2310-40,8,198.0,1584.0
TXN-13045,2023-01-11,dolo 650,DOL-2309-40,4,30.0,120.0
TXN-13046,2023-01-11,azithral 500,AZI-2310-62,8,118.5,948.0
TXN-13047,2023-01-11,pan 40,PAN-2301-58,4,155.0,620.0
TXN-13048,2023-01-11,pan 40,PAN-2301-58,2,155.0,310.0
TXN-13052,2023-01-11,pan 40,PAN-2309-45,4,155.0,620.0
TXN-13049,2023-01-11,azithral 500,AZI-2310-96,5,1185.0,592.5
TXN-13050,2023-01-11,dolo 650,DOL-2310-68,2,30.0,60.0
TXN-13380,2023-01-12,azithral 500,AZI-2310-96,5,118.5,592.5
TXN-13379,2023-01-12,allegra 120,ALL-2311-29,1,198.0,198.0
TXN-13378,2023-01-12,dolo 650,DOL-2301-95,4,30.0,120.0
TXN-13377,2023-01-12,pan 40,PAN-2311-46,5,155.0,775.0
TXN-13376,2023-01-12,glycomet 500,GLY-2311-33,5,22.5,112.5
TXN-13375,2023-01-12,dolo 650,DOL-2310-68,6,30.0,180.0
TXN-13374,2023-01-12,glycomet 500,GLY-2310-77,5,22.5,112.5
TXN-13373,2023-01-12,allegra 120,ALL-2311-29,2,198.0,396.0
TXN-13372,2023-01-12,dolo 650,DOL-2310-68,9,30.0,270.0
TXN-13371,2023-01-12,glycomet 500,GLY-2311-11,3,22.5,67.5
TXN-13370,2023-01-12,azithral 500,AZI-2311-64,4,118.5,474.0
TXN-13369,2023-01-12,azithral 500,AZI-2311-36,7,118.5,829.5
TXN-10291,2023-02-02,azithral 500,AZI-2301-61,5,118.5,592.5
TXN-10294,2023-02-02,telma 40,TEL-2301-73,1,220.0,220.0
TXN-10290,2023-02-02,azithral 500,AZI-2301-67,7,118.5,829.5
TXN-10289,2023-02-02,azithral 500,AZI-2301-67,8,118.5,948.0
TXN-10292,2023-02-02,allegra 120,ALL-2301-79,2,198.0,396.0
TXN-10288,2023-02-02,azithral 500,AZI-2301-61,7,118.5,829.5
TXN-10287,2023-02-02,telma 40,TEL-2301-73,4,220.0,880.0
TXN-10286,2023-02-02,glycomet 500,GLY-2301-17,5,22.5,112.5
TXN-10293,2023-02-02,telma 40,TEL-2301-80,2,220.0,440.0
TXN-10561,2023-02-03,dolo 650,DOL-2302-21,3,30.0,90.0
TXN-10557,2023-02-03,glycomet 500,GLY-2302-38,1,22.5,22.5
TXN-10558,2023-02-03,pan 40,PAN-2301-58,2,155.0,310.0
TXN-10559,2023-02-03,glycomet 500,GLY-2302-38,2,22.5,45.0
TXN-10560,2023-02-03,allegra 120,ALL-2301-89,9,198.0,1782.0
TXN-10556,2023-02-03,pan 40,PAN-2302-32,2,155.0,310.0
TXN-10562,2023-02-03,pan 40,PAN-2301-29,4,155.0,620.0
TXN-10565,2023-02-03,dolo 650,DOL-2301-86,4,30.0,120.0
TXN-10564,2023-02-03,dolo 650,DOL-2301-86,3,30.0,90.0
TXN-10555,2023-02-03,dolo 650,DOL-2301-50,1,30.0,30.0
TXN-10563,2023-02-03,glycomet 500,GLY-2301-17,5,22.5,112.5
TXN-10890,2023-02-04,dolo 650,DOL-2302-21,4,30.0,120.0
TXN-10891,2023-02-04,pan 40,PAN-2303-37,4,155.0,620.0
TXN-10892,2023-02-04,azithral 500,AZI-2301-67,1,118.5,118.5
TXN-10889,2023-02-04,pan 40,PAN-2303-30,2,155.0,310.0
TXN-10888,2023-02-04,glycomet 500,GLY-2302-38,1,22.5,22.5
TXN-10893,2023-02-04,glycomet 500,GLY-2303-71,4,22.5,90.0
TXN-10886,2023-02-04,allegra 120,ALL-2303-90,9,198.0,1782.0
TXN-10885,2023-02-04,azithral 500,AZI-2303-21,1,118.5,118.5
TXN-10883,2023-02-04,azithral 500,AZI-2303-88,1,118.5,118.5
TXN-10887,2023-02-04,pan 40,PAN-2302-32,5,155.0,775.0
TXN-10884,2023-02-04,pan 40,PAN-2302-32,1,155.0,155.0
TXN-11185,2023-02-05,telma 40,TEL-2304-16,3,220.0,660.0
TXN-11186,2023-02-05,telma 40,TEL-2304-95,2,220.0,440.0
TXN-11187,2023-02-05,allegra 120,ALL-2301-79,3,198.0,594.0
TXN-11191,2023-02-05,glycomet 500,GLY-2304-26,3,22.5,67.5
TXN-11190,2023-02-05,pan 40,PAN-2303-30,1,155.0,155.0
TXN-11188,2023-02-05,allegra 120,ALL-2303-90,2,198.0,396.0
TXN-11189,2023-02-05,allegra 120,ALL-2303-90,1,198.0,198.0
TXN-11184,2023-02-05,allegra 120,ALL-2303-90,5,198.0,990.0
TXN-11478,2023-02-06,glycomet 500,GLY-2304-25,2,22.5,45.0
TXN-11471,2023-02-06,telma 40,TEL-2304-16,5,220.0,1100.0
TXN-11474,2023-02-06,glycomet 500,GLY-2304-25,1,22.5,22.5
TXN-11473,2023-02-06,pan 40,PAN-2305-91,5,155.0,775.0
TXN-11476,2023-02-06,azithral 500,AZI-2305-84,3,118.5,355.5
TXN-11477,2023-02-06,dolo 650,DOL-2304-79,10,30.0,300.0
TXN-11481,2023-02-06,azithral 500,AZI-2305-56,3,118.5,355.5
TXN-11480,2023-02-06,dolo 650,DOL-2305-67,10,30.0,300.0
TXN-11479,2023-02-06,telma 40,TEL-2304-16,2,-220.0,440.0
TXN-11472,2023-02-06,glycomet 500,GLY-2305-80,1,22.5,22.5
TXN-11475,2023-02-06,telma 40,TEL-2305-98,4,220.0,880.0
TXN-11470,2023-02-06,telma 40,TEL-2305-98,2,220.0,440.0
TXN-11802,2023-02-07,dolo 650,DOL-2305-67,3,30.0,90.0
TXN-11803,2023-02-07,azithral 500,AZI-2306-16,3,118.5,355.5
TXN-11794,2023-02-07,azithral 500,AZI-2305-84,1,118.5,118.5
TXN-11795,2023-02-07,glycomet 500,GLY-2306-20,1,22.5,22.5
TXN-11796,2023-02-07,pan 40,PAN-2305-20,4,155.0,620.0
TXN-11797,2023-02-07,dolo 650,DOL-2301-95,6,30.0,180.0
TXN-11801,2023-02-07,telma 40,TEL-2306-65,4,220.0,880.0
TXN-11799,2023-02-07,pan 40,PAN-2306-73,3,155.0,465.0
TXN-11800,2023-02-07,glycomet 500,GLY-2306-76,2,22.5,45.0
TXN-11798,2023-02-07,glycomet 500,GLY-2305-65,5,22.5,112.5
TXN-12110,2023-02-08,allegra 120,ALL-2307-47,4,198.0,792.0
TXN-12111,2023-02-08,telma 40,TEL-2307-85,3,220.0,660.0
TXN-12112,2023-02-08,dolo 650,DOL-2307-98,8,30.0,240.0
TXN-12113,2023-02-08,dolo 650,DOL-2307-98,7,30.0,210.0
TXN-12114,2023-02-08,telma 40,TEL-2307-62,3,220.0,660.0
TXN-12109,2023-02-08,allegra 120,ALL-2307-16,3,198.0,594.0
TXN-12108,2023-02-08,glycomet 500,GLY-2307-43,1,22.5,22.5
TXN-12107,2023-02-08,glycomet 500,GLY-2307-43,5,22.5,112.5
TXN-12106,2023-02-08,glycomet 500,GLY-2306-20,4,22.5,90.0
TXN-12427,2023-02-09,dolo 650,DOL-2308-32,6,30.0,180.0
TXN-12426,2023-02-09,allegra 120,ALL-2308-46,4,1980.0,792.0
TXN-12425,2023-02-09,telma 40,TEL-2308-27,1,220.0,220.0
TXN-12428,2023-02-09,pan 40,PAN-2301-58,3,155.0,465.0
TXN-12423,2023-02-09,pan 40,PAN-2308-70,1,155.0,155.0
TXN-12422,2023-02-09,pan 40,PAN-2308-52,1,155.0,155.0
TXN-12421,2023-02-09,telma 40,TEL-2301-80,1,220.0,220.0
TXN-12420,2023-02-09,telma 40,TEL-2308-27,1,220.0,220.0
TXN-12429,2023-02-09,telma 40,TEL-2308-27,1,220.0,220.0
TXN-12430,2023-02-09,pan 40,PAN-2308-70,3,155.0,465.0
TXN-12424,2023-02-09,dolo 650,DOL-2308-77,6,30.0,180.0
TXN-12419,2023-02-09,allegra 120,ALL-2307-16,2,198.0,396.0
TXN-12736,2023-02-10,azithral 500,AZI-2309-32,3,118.5,355.5
TXN-12734,2023-02-10,azithral 500,AZI-2301-67,4,118.5,474.0
TXN-12735,2023-02-10,glycomet 500,GLY-2309-36,3,22.5,67.5
TXN-12737,2023-02-10,azithral 500,AZI-2309-11,2,118.5,237.0
TXN-12739,2023-02-10,allegra 120,ALL-2309-44,4,198.0,792.0
TXN-12740,2023-02-10,telma 40,TEL-2309-91,1,220.0,220.0
TXN-12741,2023-02-10,pan 40,PAN-2309-45,3,155.0,465.0
TXN-12742,2023-02-10,allegra 120,ALL-2309-44,6,198.0,1188.0
TXN-12743,2023-02-10,telma 40,TEL-2308-56,5,220.0,1100.0
TXN-12738,2023-02-10,azithral 500,AZI-2308-12,4,1185.0,474.0
TXN-13059,2023-02-11,pan 40,PAN-2310-84,1,155.0,155.0
TXN-13058,2023-02-11,pan 40,PAN-2310-84,4,155.0,620.0
TXN-13057,2023-02-11,allegra 120,ALL-2310-39,8,198.0,1584.0
TXN-13056,2023-02-11,telma 40,TEL-2309-35,3,220.0,660.0
TXN-13055,2023-02-11,allegra 120,ALL-2309-44,4,198.0,792.0
TXN-13054,2023-02-11,allegra 120,ALL-2309-44,7,198.0,1386.0
TXN-13053,2023-02-11,dolo 650,DOL-2310-68,4,30.0,120.0
TXN-13061,2023-02-11,allegra 120,ALL-2309-44,6,198.0,1188.0
TXN-13060,2023-02-11,dolo 650,DOL-2309-40,3,30.0,90.0
TXN-13381,2023-02-12,allegra 120,ALL-2310-40,4,198.0,792.0
TXN-13390,2023-02-12,allegra 120,ALL-2311-29,2,198.0,396.0
TXN-13389,2023-02-12,azithral 500,AZI-2311-64,5,118.5,592.5
TXN-13388,2023-02-12,dolo 650,DOL-2310-68,9,30.0,270.0
TXN-13387,2023-02-12,azithral 500,AZI-2311-64,4,118.5,474.0
TXN-13386,2023-02-12,azithral 500,AZI-2311-36,5,118.5,592.5
TXN-13385,2023-02-12,pan 40,PAN-2310-84,2,155.0,310.0
TXN-13384,2023-02-12,telma 40,TEL-2310-32,1,220.0,220.0
TXN-13383,2023-02-12,telma 40,TEL-2310-32,4,220.0,880.0
TXN-13392,2023-02-12,glycomet 500,GLY-2311-11,1,22.5,22.5
TXN-13391,2023-02-12,dolo 650,DOL-2311-14,7,30.0,210.0
TXN-13382,2023-02-12,pan 40,PAN-2310-84,5,155.0,775.0
TXN-10299,2023-03-02,dolo 650,DOL-2301-86,2,30.0,60.0
TXN-10303,2023-03-02,dolo 650,DOL-2301-95,3,30.0,90.0
TXN-10302,2023-03-02,dolo 650,DOL-2301-86,3,30.0,90.0
TXN-10301,2023-03-02,dolo 650,DOL-2301-95,4,30.0,120.0
TXN-10295,2023-03-02,allegra 120,ALL-2301-89,3,198.0,594.0
TXN-10296,2023-03-02,dolo 650,DOL-2301-95,5,30.0,150.0
TXN-10297,2023-03-02,azithral 500,AZI-2301-67,8,118.5,948.0
TXN-10298,2023-03-02,azithral 500,AZI-2301-61,7,118.5,829.5
TXN-10300,2023-03-02,pan 40,PAN-2301-18,2,155.0,310.0
TXN-10566,2023-03-03,azithral 500,AZI-2301-28,3,118.5,355.5
TXN-10576,2023-03-03,telma 40,TEL-2301-51,5,220.0,1100.0
TXN-10577,2023-03-03,pan 40,PAN-2301-18,4,155.0,620.0
TXN-10573,2023-03-03,glycomet 500,GLY-2302-38,3,22.5,67.5
TXN-10572,2023-03-03,allegra 120,ALL-2301-41,5,198.0,990.0
TXN-10571,2023-03-03,dolo 650,DOL-2301-50,2,30.0,60.0
TXN-10570,2023-03-03,allegra 120,ALL-2302-47,7,198.0,1386.0
TXN-10569,2023-03-03,dolo 650,DOL-2302-21,2,30.0,60.0
TXN-10568,2023-03-03,telma 40,TEL-2301-73,4,220.0,880.0
TXN-10567,2023-03-03,pan 40,PAN-2301-18,5,155.0,775.0
TXN-10575,2023-03-03,azithral 500,AZI-2301-61,4,118.5,474.0
TXN-10574,2023-03-03,allegra 120,ALL-2301-79,6,198.0,1188.0
TXN-10898,2023-03-04,pan 40,PAN-2303-37,5,155.0,775.0
TXN-10896,2023-03-04,dolo 650,DOL-2303-70,5,30.0,150.0
TXN-10895,2023-03-04,telma 40,TEL-2303-57,5,220.0,1100.0
TXN-10899,2023-03-04,pan 40,PAN-2303-30,1,155.0,155.0
TXN-10903,2023-03-04,glycomet 500,GLY-2303-82,2,22.5,45.0
TXN-10894,2023-03-04,telma 40,TEL-2302-25,3,220.0,660.0
TXN-10897,2023-03-04,allegra 120,ALL-2302-47,5,198.0,990.0
TXN-10901,2023-03-04,glycomet 500,GLY-2303-71,4,22.5,90.0
TXN-10902,2023-03-04,glycomet 500,GLY-2302-38,3,22.5,67.5
TXN-10900,2023-03-04,azithral 500,AZI-2302-52,3,118.5,355.5
TXN-11206,2023-03-05,telma 40,TEL-2305-49,5,220.0,1100.0
TXN-11198,2023-03-05,telma 40,TEL-2304-95,5,220.0,1100.0
TXN-11199,2023-03-05,azithral 500,AZI-2305-56,1,118.5,118.5
TXN-11203,2023-03-05,dolo 650,DOL-2304-79,3,30.0,90.0
TXN-11202,2023-03-05,glycomet 500,GLY-2304-26,5,22.5,112.5
TXN-11201,2023-03-05,glycomet 500,GLY-2305-80,5,22.5,112.5
TXN-11196,2023-03-05,pan 40,PAN-2305-91,1,155.0,155.0
TXN-11197,2023-03-05,dolo 650,DOL-2304-73,5,30.0,150.0
TXN-11205,2023-03-05,pan 40,PAN-2304-91,1,155.0,155.0
TXN-11204,2023-03-05,allegra 120,ALL-2305-35,5,198.0,990.0
TXN-11200,2023-03-05,azithral 500,AZI-2305-56,3,118.5,355.5
TXN-11192,2023-03-05,pan 40,PAN-2304-54,2,155.0,310.0
TXN-11193,2023-03-05,allegra 120,ALL-2305-35,3,198.0,594.0
TXN-11195,2023-03-05,azithral 500,AZI-2305-56,1,118.5,118.5
TXN-11194,2023-03-05,pan 40,PAN-2305-91,4,155.0,620.0
TXN-11494,2023-03-06,telma 40,TEL-2306-18,3,220.0,660.0
TXN-11495,2023-03-06,dolo 650,DOL-2305-12,7,30.0,210.0
TXN-11485,2023-03-06,dolo 650,DOL-2301-95,3,30.0,90.0
TXN-11493,2023-03-06,allegra 120,ALL-2305-35,5,198.0,990.0
TXN-11492,2023-03-06,allegra 120,ALL-2305-35,1,198.0,198.0
TXN-11484,2023-03-06,glycomet 500,GLY-2305-80,3,22.5,67.5
TXN-11490,2023-03-06,pan 40,PAN-2305-91,5,155.0,775.0
TXN-11489,2023-03-06,allegra 120,ALL-2305-58,4,198.0,792.0
TXN-11488,2023-03-06,glycomet 500,GLY-2305-80,2,22.5,45.0
TXN-11487,2023-03-06,pan 40,PAN-2305-91,1,155.0,155.0
TXN-11486,2023-03-06,glycomet 500,GLY-2305-80,1,22.5,22.5
TXN-11483,2023-03-06,dolo 650,DOL-2305-12,8,30.0,240.0
TXN-11482,2023-03-06,azithral 500,AZI-2305-84,2,118.5,237.0
TXN-11491,2023-03-06,glycomet 500,GLY-2305-65,1,22.5,22.5
TXN-11804,2023-03-07,dolo 650,DOL-2306-47,7,30.0,210.0
TXN-11806,2023-03-07,allegra 120,ALL-2301-79,5,198.0,990.0
TXN-11807,2023-03-07,pan 40,PAN-2306-73,1,155.0,155.0
TXN-11808,2023-03-07,pan 40,PAN-2305-20,4,155.0,620.0
TXN-11809,2023-03-07,pan 40,PAN-2306-73,1,155.0,155.0
TXN-11810,2023-03-07,telma 40,TEL-2301-80,5,220.0,1100.0
TXN-11811,2023-03-07,dolo 650,DOL-2306-47,6,30.0,180.0
TXN-11805,2023-03-07,pan 40,PAN-2306-73,5,155.0,775.0
TXN-12119,2023-03-08,allegra 120,ALL-2307-47,3,198.0,594.0
TXN-12117,2023-03-08,azithral 500,AZI-2308-85,1,118.5,118.5
TXN-12118,2023-03-08,pan 40,PAN-2307-41,3,155.0,465.0
TXN-12115,2023-03-08,allegra 120,ALL-2307-47,1,198.0,198.0
TXN-12116,2023-03-08,telma 40,TEL-2307-85,5,220.0,1100.0
TXN-12436,2023-03-09,telma 40,TEL-2308-56,3,220.0,660.0
TXN-12435,2023-03-09,azithral 500,AZI-2308-12,4,118.5,474.0
TXN-12432,2023-03-09,allegra 120,ALL-2308-50,5,198.0,990.0
TXN-12437,2023-03-09,dolo 650,DOL-2308-32,4,30.0,120.0
TXN-12443,2023-03-09,pan 40,PAN-2307-94,4,155.0,620.0
TXN-12442,2023-03-09,telma 40,TEL-2308-27,3,220.0,660.0
TXN-12441,2023-03-09,allegra 120,ALL-2308-46,1,198.0,198.0
TXN-12440,2023-03-09,pan 40,PAN-2307-94,2,155.0,310.0
TXN-12439,2023-03-09,pan 40,PAN-2307-94,4,155.0,620.0
TXN-12438,2023-03-09,allegra 120,ALL-2308-50,2,198.0,396.0
TXN-12431,2023-03-09,telma 40,TEL-2307-62,4,220.0,880.0
TXN-12434,2023-03-09,telma 40,TEL-2307-62,4,220.0,880.0
TXN-12433,2023-03-09,dolo 650,DOL-2308-77,5,30.0,150.0
TXN-12744,2023-03-10,pan 40,PAN-2308-52,5,155.0,775.0
TXN-12745,2023-03-10,pan 40,PAN-2309-79,4,155.0,620.0
TXN-12746,2023-03-10,glycomet 500,GLY-2309-43,1,22.5,22.5
TXN-12747,2023-03-10,dolo 650,DOL-2308-77,3,30.0,90.0
TXN-12748,2023-03-10,pan 40,PAN-2309-79,2,155.0,310.0
TXN-12757,2023-03-10,telma 40,TEL-2308-56,4,220.0,880.0
TXN-12755,2023-03-10,glycomet 500,GLY-2309-36,3,22.5,67.5
TXN-12754,2023-03-10,azithral 500,AZI-2309-11,2,118.5,237.0
TXN-12753,2023-03-10,dolo 650,DOL-2309-37,4,30.0,120.0
TXN-12752,2023-03-10,azithral 500,AZI-2309-32,3,118.5,355.5
TXN-12751,2023-03-10,dolo 650,DOL-2309-40,4,30.0,120.0
TXN-12750,2023-03-10,dolo 650,DOL-2308-77,2,30.0,60.0
TXN-12756,2023-03-10,glycomet 500,GLY-2308-94,3,22.5,67.5
TXN-12749,2023-03-10,azithral 500,AZI-2308-12,4,118.5,474.0
TXN-13064,2023-03-11,pan 40,PAN-2309-45,3,155.0,465.0
TXN-13065,2023-03-11,dolo 650,DOL-2309-40,4,30.0,120.0
TXN-13066,2023-03-11,telma 40,TEL-2310-32,2,220.0,440.0
TXN-13067,2023-03-11,glycomet 500,GLY-2310-77,1,22.5,22.5
TXN-13062,2023-03-11,glycomet 500,GLY-2301-13,5,22.5,112.5
TXN-13063,2023-03-11,glycomet 500,GLY-2310-77,2,22.5,45.0
TXN-13400,2023-03-12,telma 40,TEL-2311-86,2,220.0,440.0
TXN-13401,2023-03-12,allegra 120,ALL-2311-39,3,198.0,594.0
TXN-13398,2023-03-12,azithral 500,AZI-2311-36,9,118.5,1066.5
TXN-13397,2023-03-12,azithral 500,AZI-2311-64,6,118.5,711.0
TXN-13399,2023-03-12,azithral 500,AZI-2311-64,4,118.5,474.0
TXN-13396,2023-03-12,allegra 120,ALL-2310-40,1,198.0,198.0
TXN-13395,2023-03-12,telma 40,TEL-2311-86,2,220.0,440.0
TXN-13394,2023-03-12,allegra 120,ALL-2301-79,4,198.0,792.0
TXN-13393,2023-03-12,glycomet 500,GLY-2310-77,2,22.5,45.0
TXN-13402,2023-03-12,glycomet 500,GLY-2311-11,1,22.5,22.5
TXN-13404,2023-03-12,telma 40,TEL-2311-86,1,220.0,220.0
TXN-13403,2023-03-12,allegra 120,ALL-2311-39,3,198.0,594.0
TXN-10307,2023-04-02,telma 40,TEL-2301-51,4,220.0,880.0
TXN-10318,2023-04-02,pan 40,PAN-2301-18,5,155.0,775.0
TXN-10317,2023-04-02,glycomet 500,GLY-2301-55,1,22.5,22.5
TXN-10315,2023-04-02,allegra 120,ALL-2301-41,2,198.0,396.0
TXN-10308,2023-04-02,allegra 120,ALL-2301-79,2,198.0,396.0
TXN-10314,2023-04-02,azithral 500,AZI-2301-67,5,118.5,592.5
TXN-10313,2023-04-02,pan 40,PAN-2301-29,2,155.0,310.0
TXN-10312,2023-04-02,dolo 650,DOL-2301-50,4,30.0,120.0
TXN-10310,2023-04-02,telma 40,TEL-2301-51,5,220.0,1100.0
TXN-10309,2023-04-02,allegra 120,ALL-2301-41,4,198.0,792.0
TXN-10304,2023-04-02,dolo 650,DOL-2301-86,5,30.0,150.0
